url,article_number,name,description,short_description,image,technical_image,information_pdf,spec_sheet_mitutoyo,image_links,attributes
https://shop.mitutoyo.mx/products/es_MX/MeasurLink%2010/%28R%29ML%20SITE%20LICENSE%20V10%2C%2030%20LICENSES/$catalogue/mitutoyoData/PR/64AAB843R/index.xhtml;jsessionid=E297F607A6CCCC61D38AEC851B27245B,64AAB843R,"(R)ML SITE LICENSE V10, 30 LICENSES",,,https://shop.mitutoyo.mx/media/mitutoyoData/IM/bigweb/ML%2010%20Real%20Time%20Professional_png.png,https://shop.mitutoyo.mx/products/es_MX/MeasurLink%2010/%28R%29ML%20SITE%20LICENSE%20V10%2C%2030%20LICENSES/$catalogue/mitutoyoData/PR/64AAB843R/index.xhtml;jsessionid=E297F607A6CCCC61D38AEC851B27245B,https://shop.mitutoyo.mx/products/es_MX/MeasurLink%2010/%28R%29ML%20SITE%20LICENSE%20V10%2C%2030%20LICENSES/$catalogue/mitutoyoData/PR/64AAB843R/index.xhtml;jsessionid=E297F607A6CCCC61D38AEC851B27245B,https://shop.mitutoyo.mx/products/es_MX/MeasurLink%2010/%28R%29ML%20SITE%20LICENSE%20V10%2C%2030%20LICENSES/$catalogue/mitutoyoData/PR/64AAB843R/index.xhtml;jsessionid=E297F607A6CCCC61D38AEC851B27245B,https://shop.mitutoyo.mx/media/mitutoyoData/IM/bigweb/ML%2010%20Real%20Time%20Professional_png.png;https://shop.mitutoyo.mx/media/mitutoyoData/IM/bigweb/ML%2010%20Real%20Time%20Professional%203D_png.png;https://shop.mitutoyo.mx/media/mitutoyoData/IM/bigweb/ML%2010%20Process%20Analyzer_png.png;https://shop.mitutoyo.mx/media/mitutoyoData/IM/bigweb/measurlink_d_es_eps.png;https://shop.mitutoyo.mx/media/mitutoyoData/IM/bigweb/logo_brochure_small_tools_eps.png,-:: MeasurLink 10 Site License - 30 Licenses*
https://shop.mitutoyo.mx/products/es_MX/MeasurLink%2010/%28R%29ML%20WORKGROUP%20LICENSE%20V10%2C%2015%20LICENSES/$catalogue/mitutoyoData/PR/64AAB844R/index.xhtml;jsessionid=E297F607A6CCCC61D38AEC851B27245B,64AAB844R,"(R)ML WORKGROUP LICENSE V10, 15 LICENSES",,,https://shop.mitutoyo.mx/media/mitutoyoData/IM/bigweb/ML%2010%20Real%20Time%20Professional_png.png,https://shop.mitutoyo.mx/products/es_MX/MeasurLink%2010/%28R%29ML%20WORKGROUP%20LICENSE%20V10%2C%2015%20LICENSES/$catalogue/mitutoyoData/PR/64AAB844R/index.xhtml;jsessionid=E297F607A6CCCC61D38AEC851B27245B,https://shop.mitutoyo.mx/products/es_MX/MeasurLink%2010/%28R%29ML%20WORKGROUP%20LICENSE%20V10%2C%2015%20LICENSES/$catalogue/mitutoyoData/PR/64AAB844R/index.xhtml;jsessionid=E297F607A6CCCC61D38AEC851B27245B,https://shop.mitutoyo.mx/products/es_MX/MeasurLink%2010/%28R%29ML%20WORKGROUP%20LICENSE%20V10%2C%2015%20LICENSES/$catalogue/mitutoyoData/PR/64AAB844R/index.xhtml;jsessionid=E297F607A6CCCC61D38AEC851B27245B,https://shop.mitutoyo.mx/media/mitutoyoData/IM/bigweb/ML%2010%20Real%20Time%20Professional_png.png;https://shop.mitutoyo.mx/media/mitutoyoData/IM/bigweb/ML%2010%20Real%20Time%20Professional%203D_png.png;https://shop.mitutoyo.mx/media/mitutoyoData/IM/bigweb/ML%2010%20Process%20Analyzer_png.png;https://shop.mitutoyo.mx/media/mitutoyoData/IM/bigweb/measurlink_d_es_eps.png;https://shop.mitutoyo.mx/media/mitutoyoData/IM/bigweb/logo_brochure_small_tools_eps.png,-:: MeasurLink 10 Workgroup License - 15 Licenses*
https://shop.mitutoyo.mx/products/es_MX/MeasurLink%2010/%28R%29ML%20WORKGROUP%20LICENSE%20V10%2C%2010%20LICENSES/$catalogue/mitutoyoData/PR/64AAB846R/index.xhtml;jsessionid=E297F607A6CCCC61D38AEC851B27245B,64AAB846R,"(R)ML WORKGROUP LICENSE V10, 10 LICENSES",,,https://shop.mitutoyo.mx/media/mitutoyoData/IM/bigweb/ML%2010%20Real%20Time%20Professional_png.png,https://shop.mitutoyo.mx/products/es_MX/MeasurLink%2010/%28R%29ML%20WORKGROUP%20LICENSE%20V10%2C%2010%20LICENSES/$catalogue/mitutoyoData/PR/64AAB846R/index.xhtml;jsessionid=E297F607A6CCCC61D38AEC851B27245B,https://shop.mitutoyo.mx/products/es_MX/MeasurLink%2010/%28R%29ML%20WORKGROUP%20LICENSE%20V10%2C%2010%20LICENSES/$catalogue/mitutoyoData/PR/64AAB846R/index.xhtml;jsessionid=E297F607A6CCCC61D38AEC851B27245B,https://shop.mitutoyo.mx/products/es_MX/MeasurLink%2010/%28R%29ML%20WORKGROUP%20LICENSE%20V10%2C%2010%20LICENSES/$catalogue/mitutoyoData/PR/64AAB846R/index.xhtml;jsessionid=E297F607A6CCCC61D38AEC851B27245B,https://shop.mitutoyo.mx/media/mitutoyoData/IM/bigweb/ML%2010%20Real%20Time%20Professional_png.png;https://shop.mitutoyo.mx/media/mitutoyoData/IM/bigweb/ML%2010%20Real%20Time%20Professional%203D_png.png;https://shop.mitutoyo.mx/media/mitutoyoData/IM/bigweb/ML%2010%20Process%20Analyzer_png.png;https://shop.mitutoyo.mx/media/mitutoyoData/IM/bigweb/measurlink_d_es_eps.png;https://shop.mitutoyo.mx/media/mitutoyoData/IM/bigweb/logo_brochure_small_tools_eps.png,-:: MeasurLink 10 Workgroup License - 10 Licenses*
